policy,seed,err_rate,rounds_to_target,cum_time,final_gain,final_regret
matched(模型已知,用m̂),25,0.219140,17,292.222222,6.914360,0.102897
matched(模型已知,用m̂),26,0.211276,16,291.777778,7.295159,-0.277507
matched(模型已知,用m̂),27,0.215763,18,290.222222,6.973470,0.031188
matched(模型已知,用m̂),28,0.217714,17,290.666667,6.910720,0.091650
matched(模型已知,用m̂),29,0.214118,16,289.333333,7.255527,-0.270432
matched(模型已知,用m̂),30,0.216544,18,288.888889,7.109208,-0.109622
matched(模型已知,用m̂),31,0.215806,18,288.666667,7.072742,-0.083701
matched(模型已知,用m̂),32,0.214730,16,291.777778,7.114827,-0.095200
matched(模型已知,用m̂),33,0.218886,16,291.111111,7.336085,-0.340154
matched(模型已知,用m̂),34,0.211669,16,290.444444,7.091192,-0.080324
matched(模型已知,用m̂),35,0.213791,18,288.444444,6.953689,0.037311
matched(模型已知,用m̂),36,0.215839,18,289.777778,7.071797,-0.077333
matched(模型已知,用m̂),37,0.216684,17,291.777778,7.036953,-0.020938
matched(模型已知,用m̂),38,0.213480,16,292.000000,7.303181,-0.283665
matched(模型已知,用m̂),39,0.212941,16,290.222222,7.151874,-0.158146
matched(模型已知,用m̂),40,0.212325,18,289.555556,7.202498,-0.198795
matched(模型已知,用m̂),41,0.212167,15,291.777778,7.102957,-0.085296
